Lane,Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
LD1,32.0,32.0,100,100,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666666
LD2,12.0,16.0,75,100,0.0208333333333333,0.0833333333333333,0.0625,0.0625
LG1,32.0,32.0,100,100,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666666
LG2,24.0,32.0,75,100,0.020833333333333332,0.08333333333333333,0.0625,0.041666666666666664
LG3,12.0,16.0,75,100,0.0208333333333333,0.0833333333333333,0.0625,0.0625
LG4,16.0,16.0,100,100,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0625
LK1,24.0,32.0,75,100,0.0208333333333333,0.0833333333333333,0.0625,0.0416666666666666
LK2,16.0,16.0,100,100,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666666
